ESTU_TIPODOCUMENTO,ESTU_NACIONALIDAD,ESTU_GENERO,ESTU_FECHANACIMIENTO,PERIODO,ESTU_CONSECUTIVO,ESTU_ESTUDIANTE,ESTU_PAIS_RESIDE,ESTU_TIENEETNIA,ESTU_DEPTO_RESIDE,ESTU_COD_RESIDE_DEPTO,ESTU_MCPIO_RESIDE,ESTU_COD_RESIDE_MCPIO,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_CUARTOSHOGAR,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_TRABAJOLABORPADRE,FAMI_TRABAJOLABORMADRE,FAMI_TIENEINTERNET,FAMI_TIENESERVICIOTV,FAMI_TIENECOMPUTADOR,FAMI_TIENELAVADORA,FAMI_TIENEHORNOMICROOGAS,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,ESTU_HORASSEMANATRABAJA,ESTU_TIPOREMUNERACION,COLE_CODIGO_ICFES,COLE_COD_DANE_ESTABLECIMIENTO,COLE_NOMBRE_ESTABLECIMIENTO,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_BILINGUE,COLE_CARACTER,COLE_COD_DANE_SEDE,COLE_NOMBRE_SEDE,COLE_SEDE_PRINCIPAL,COLE_AREA_UBICACION,COLE_JORNADA,COLE_COD_MCPIO_UBICACION,COLE_MCPIO_UBICACION,COLE_COD_DEPTO_UBICACION,COLE_DEPTO_UBICACION,ESTU_PRIVADO_LIBERTAD,ESTU_COD_MCPIO_PRESENTACION,ESTU_MCPIO_PRESENTACION,ESTU_DEPTO_PRESENTACION,ESTU_COD_DEPTO_PRESENTACION,PUNT_LECTURA_CRITICA,PERCENTIL_LECTURA_CRITICA,DESEMP_LECTURA_CRITICA,PUNT_MATEMATICAS,PERCENTIL_MATEMATICAS,DESEMP_MATEMATICAS,PUNT_C_NATURALES,PERCENTIL_C_NATURALES,DESEMP_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PERCENTIL_SOCIALES_CIUDADANAS,DESEMP_SOCIALES_CIUDADANAS,PUNT_INGLES,PERCENTIL_INGLES,DESEMP_INGLES,PUNT_GLOBAL,PERCENTIL_GLOBAL,ESTU_INSE_INDIVIDUAL,ESTU_NSE_INDIVIDUAL,ESTU_NSE_ESTABLECIMIENTO,ESTU_ESTADOINVESTIGACION,ESTU_GENERACION-E
TI,COLOMBIA,F,4/29/2004 0:00,20204,SB11202040028652,ESTUDIANTE,COLOMBIA,No,CORDOBA,23,TIERRALTA,23807,Estrato 1,3 a 4,Dos,Primaria completa,Primaria completa,"Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia",No,Si,,,,,,,0 A 10 LIBROS,1 o 2 veces por semana,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,Peor,30 minutos o menos,30 minutos o menos,Menos de 10 horas,"Si, en efectivo",679001,2.23807E+11,IE LOS MORALES,MIXTO,OFICIAL,A,,ACADÉMICO,2.23807E+11,IE LOS MORALES,S,RURAL,UNICA,23807,TIERRALTA,23,CORDOBA,N,23807,TIERRALTA,CORDOBA,23,42,18,2,36,10,2,34,8,1,32,9,1,40,31,A-,182,8,36.41530548,1,2,PUBLICAR,GENERACION E - GRATUIDAD
CC,COLOMBIA,M,9/11/2002 0:00,20204,SB11202040136621,ESTUDIANTE,COLOMBIA,No,BOYACA,15,SOGAMOSO,15759,Estrato 2,3 a 4,Dos,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,"Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc",Si,Si,Si,Si,Si,No,No,No,11 A 25 LIBROS,3 a 5 veces por semana,Todos o casi todos los días,1 o 2 veces por semana,Igual,Entre 30 y 60 minutos,30 minutos o menos,0,No,29736,2.15759E+11,INSTITUCION EDUCATIVA TECNICO INDUSTRIAL GUSTAVO JIMENEZ,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,2.15759E+11,INSTITUCION EDUCATIVA TECNICO INDUSTRIAL GUSTAVO JIMENEZ,S,URBANO,TARDE,15759,SOGAMOSO,15,BOYACA,N,15759,SOGAMOSO,BOYACA,15,65,90,3,66,90,3,63,92,3,68,95,3,52,75,A1,322,93,55.29891115,3,3,PUBLICAR,GENERACION E - GRATUIDAD
TI,COLOMBIA,F,10/11/2002 0:00,20204,SB11202040089598,ESTUDIANTE,COLOMBIA,No,CORDOBA,23,MONTERÍA,23001,Estrato 1,3 a 4,Dos,Ninguno,Primaria completa,Pensionado,"Trabaja en el hogar, no trabaja o estudia",No,Si,No,Si,No,No,No,No,0 A 10 LIBROS,Todos o casi todos los días,Todos o casi todos los días,3 a 5 veces por semana,Igual,30 minutos o menos,Entre 1 y 3 horas,0,No,154435,2.23001E+11,IE TRES PALMAS,MIXTO,OFICIAL,A,N,ACADÉMICO,2.23001E+11,IE TRES PALMAS,S,RURAL,MAÑANA,23001,MONTERÍA,23,CORDOBA,N,23001,MONTERÍA,CORDOBA,23,45,25,2,55,63,3,48,52,2,26,2,1,49,66,A1,220,31,44.64209533,2,2,PUBLICAR,NO
TI,COLOMBIA,F,2/25/2004 0:00,20204,SB11202040034744,ESTUDIANTE,COLOMBIA,No,BOGOTÁ,11,BOGOTÁ D.C.,11001,Estrato 3,1 a 2,Dos,Postgrado,Técnica o tecnológica completa,"Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja en el hogar, no trabaja o estudia",Si,Si,Si,Si,Si,No,Si,No,11 A 25 LIBROS,1 o 2 veces por semana,Todos o casi todos los días,Nunca o rara vez comemos eso,Igual,No leo por entretenimiento,Más de 3 horas,0,No,152645,1.11001E+11,COLEGIO MARSELLA (IED),MIXTO,OFICIAL,A,N,ACADÉMICO,1.11001E+11,CENT EDUC DIST BAS Y MEDIA MARSELLA,S,URBANO,MAÑANA,11001,BOGOTÁ D.C.,11,BOGOTÁ,N,11001,BOGOTÁ D.C.,BOGOTÁ,11,63,85,3,73,98,4,57,78,3,69,96,3,68,94,B1,328,94,59.78032621,3,3,PUBLICAR,NO
TI,COLOMBIA,F,7/27/2002 0:00,20204,SB11202040035751,ESTUDIANTE,COLOMBIA,No,TOLIMA,73,IBAGUÉ,73001,Estrato 5,5 a 6,Cuatro,Educación profesional completa,Educación profesional completa,No sabe,"Trabaja como profesional (por ejemplo médico, abogado, ingeniero)",Si,Si,Si,Si,Si,Si,No,Si,26 A 100 LIBROS,3 a 5 veces por semana,3 a 5 veces por semana,Todos o casi todos los días,Igual,No leo por entretenimiento,Entre 1 y 3 horas,0,No,61614,3.73001E+11,COL  SAN BONIFACIO DE LAS LANZAS,MIXTO,NO OFICIAL,A,N,ACADÉMICO,3.73001E+11,COL  SAN BONIFACIO DE LAS LANZAS,S,URBANO,COMPLETA,73001,IBAGUÉ,73,TOLIMA,N,73001,IBAGUÉ,TOLIMA,73,76,100,4,74,98,4,68,97,3,68,95,3,79,99,B+,360,99,70.06735157,4,4,PUBLICAR,NO
TI,COLOMBIA,F,1/6/2004 0:00,20204,SB11202040026090,ESTUDIANTE,COLOMBIA,No,HUILA,41,CAMPOALEGRE,41132,,,,,,,,,,,,,,,,,,,,,,,,,9969,1.41132E+11,IE EUGENIO FERRO FALLA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,1.41132E+11,EUGENIO FERRO FALLA,S,URBANO,MAÑANA,41132,CAMPOALEGRE,41,HUILA,N,41132,CAMPOALEGRE,HUILA,41,55,62,3,50,48,2,46,45,2,49,53,2,0,1,A-,231,39,,,2,PUBLICAR,GENERACION E - GRATUIDAD
TI,COLOMBIA,F,4/9/2004 0:00,20204,SB11202040439630,ESTUDIANTE,COLOMBIA,Si,CHOCO,27,RIOSUCIO,27615,Estrato 1,5 a 6,Dos,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) incompleta,"Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc",No,No,No,Si,Si,No,No,No,0 A 10 LIBROS,3 a 5 veces por semana,Todos o casi todos los días,1 o 2 veces por semana,Peor,30 minutos o menos,Entre 1 y 3 horas,0,No,107193,1.27615E+11,IE LA PRESENTACION,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,1.27615E+11,IE LA PRESENTACION - SEDE PRINCIPAL,S,URBANO,MAÑANA,27615,RIOSUCIO,27,CHOCO,N,27615,RIOSUCIO,CHOCO,27,46,29,2,,49,3,36,13,1,35,15,1,49,67,A1,213,26,47.20521398,2,3,PUBLICAR,GENERACION E - GRATUIDAD
TI,COLOMBIA,M,8/21/2002 0:00,20204,SB11202040550093,ESTUDIANTE,COLOMBIA,No,META,50,VILLAVICENCIO,50001,Estrato 2,3 a 4,Tres,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Es vendedor o trabaja en atención al público,"Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc",Si,Si,No,Si,Si,No,Si,No,26 A 100 LIBROS,Todos o casi todos los días,Todos o casi todos los días,Todos o casi todos los días,Igual,30 minutos o menos,Más de 3 horas,Más de 30 horas,"Si, en efectivo",10942,1.50001E+11,INSTITUCION EDUCATIVA INSTITUTO FRANCISCO JOSE DE CALDAS,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,1.50001E+11,INSTITUCION EDUCATIVA INSTITUTO NACIONAL FRANCISCO JOSE DE CALDAS,S,URBANO,MAÑANA,50001,VILLAVICENCIO,50,META,N,50001,VILLAVICENCIO,META,50,41,15,2,61,81,3,38,18,1,30,5,1,35,12,A-,210,24,55.5873946,3,3,PUBLICAR,NO
TI,COLOMBIA,M,4/27/2004 0:00,20204,SB11202040294921,ESTUDIANTE,COLOMBIA,No,BOGOTÁ,11,BOGOTÁ D.C.,11001,Estrato 3,3 a 4,Tres,No sabe,Secundaria (Bachillerato) completa,No sabe,"Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc",Si,No,Si,Si,Si,No,No,Si,11 A 25 LIBROS,Todos o casi todos los días,Todos o casi todos los días,Todos o casi todos los días,Igual,No leo por entretenimiento,Entre 1 y 3 horas,0,No,735316,1.11001E+11,COLEGIO JUAN REY (IED),MIXTO,OFICIAL,A,N,ACADÉMICO,1.11001E+11,CENT EDUC DIST JUAN REY,S,URBANO,UNICA,11001,BOGOTÁ D.C.,11,BOGOTÁ,N,11001,BOGOTÁ D.C.,BOGOTÁ,11,58,70,3,58,73,3,61,88,3,66,93,3,69,95,B1,307,88,60.27045649,3,2,PUBLICAR,NO
TI,COLOMBIA,F,3/4/2002 0:00,20204,SB11202040042384,ESTUDIANTE,COLOMBIA,No,CESAR,20,VALLEDUPAR,20001,Estrato 2,5 a 6,Tres,Técnica o tecnológica completa,Secundaria (Bachillerato) completa,"Es operario de máquinas o conduce vehículos (taxita, chofer)","Trabaja en el hogar, no trabaja o estudia",Si,Si,Si,Si,Si,Si,Si,Si,26 A 100 LIBROS,Todos o casi todos los días,3 a 5 veces por semana,3 a 5 veces por semana,Peor,Entre 30 y 60 minutos,Más de 3 horas,Entre 11 y 20 horas,No,725549,3.20002E+11,COLEGIO LIBERTAD Y ORDEN,MIXTO,NO OFICIAL,A,,,3.20002E+11,COLEGIO LIBERTAD Y ORDEN - SEDE PRINCIPAL,S,URBANO,UNICA,20001,VALLEDUPAR,20,CESAR,N,20001,VALLEDUPAR,CESAR,20,45,26,2,42,24,2,45,41,2,39,26,1,47,59,A-,215,28,59.74563559,3,3,PUBLICAR,GENERACION E - GRATUIDAD
